node_idx,description
202,"This node has direct edges to 23 out of the 398 other nodes in the network (degree centrality 0.0578 × 398 ≈ 23). Its closeness centrality of 0.4403 corresponds to a mean shortest-path distance of 1 / 0.4403 ≈ 2.27 hops to reach any other node in the graph. The betweenness centrality of 0.0001 implies that this node lies on approximately 0.01% of all shortest paths between pairs of nodes in the network. The clustering coefficient of 0.4901 indicates that about 49.01% of the node's 23 neighbors share a direct edge with one another, showing a moderate density of connections within its local neighborhood. The square clustering coefficient of 0.2812 reflects that 28.12% of potential four-node cycles (squares) are closed among the node's neighbors, indicating some degree of connectivity through paths of length two, in addition to direct connections."
203,"This node has direct edges to 10 out of the 398 other nodes in the network (degree centrality 0.0251 × 399 ≈ 10). Its closeness centrality of 0.4303 corresponds to a mean shortest-path distance of 1 / 0.4303 ≈ 2.32 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes, suggesting that it does not act as a connector in the network. The clustering coefficient of 0.6222 signifies that approximately 62.2% of the node's 10 neighbors share a direct edge with one another, indicating a relatively dense local structure. The square clustering coefficient of 0.2696 measures that 26.96% of potential four-node cycles among the neighbors are closed, reflecting there are connections among neighbors through paths of length two as well as direct links."
204,"This node has direct edges to 32 out of the 398 other nodes in the network (degree centrality 0.0804 × 399 ≈ 32). Its closeness centrality of 0.4580 corresponds to a mean shortest-path distance of 1 / 0.4580 ≈ 2.18 hops to reach any other node in the graph. The betweenness centrality of 0.0004 signifies that this node lies on approximately 0.04% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4960 indicates that about 49.6% of the node's 32 neighbors share a direct edge with one another, revealing a moderately dense local neighborhood. The square clustering coefficient of 0.2326 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 23.3% of such cycles are present, suggesting some connectivity among neighbors facilitated by paths of length two in addition to direct edges."
205,"This node has direct edges to 12 out of the 398 other nodes in the network (degree centrality 0.0302 × 398 ≈ 12). Its closeness centrality of 0.4203 corresponds to a mean shortest-path distance of 1 / 0.4203 ≈ 2.38 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes, meaning it does not act as a bridge between other nodes. The clustering coefficient of 0.6515 reveals that approximately 65.15% of the node's 12 neighbors share direct connecting edges with each other, indicating a relatively cohesive local neighborhood. The square clustering coefficient of 0.3228 shows that about 32.28% of potential four-node cycles among the node's neighbors are closed, reflecting a level of connectivity among neighbors through both direct and indirect paths."
206,"This node has direct edges to 27 out of the 398 other nodes in the network (degree centrality 0.0678 × 398 ≈ 27). Its closeness centrality of 0.4554 corresponds to a mean shortest-path distance of 1 / 0.4554 ≈ 2.19 hops to reach any other node in the graph. The betweenness centrality of 0.0008 indicates that this node lies on approximately 0.08% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.5926 implies that about 59.26% of the node's 27 neighbors are interconnected, reflecting a relatively dense local neighbourhood structure. The square clustering coefficient of 0.2581 indicates that 25.81% of potential four-node cycles (squares) formed by the node's neighbors are closed, demonstrating the presence of connectivity through paths of length two among the neighbors."
207,"This node has direct edges to 33 out of the 398 other nodes in the network (degree centrality 0.0829 × 399 ≈ 33). Its closeness centrality of 0.4554 corresponds to a mean shortest-path distance of 1 / 0.4554 ≈ 2.19 hops to reach any other node in the graph. The betweenness centrality of 0.0002 indicates that this node lies on approximately 0.02% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4867 suggests that about 48.7% of the node's 33 neighbors are mutually connected, indicative of a moderately interconnected local structure. The square clustering coefficient of 0.2688 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 26.9% of such cycles are present, indicating a significant level of connectivity among the neighbors through both direct and indirect paths."
208,"This node has direct edges to 53 out of the 398 other nodes in the network (degree centrality 0.1332 × 398 ≈ 53). Its closeness centrality of 0.4895 corresponds to a mean shortest-path distance of 1 / 0.4895 ≈ 2.04 hops to reach any other node in the graph. The betweenness centrality of 0.0058 indicates that this node lies on approximately 0.58% of all shortest paths between every pair of nodes. The clustering coefficient of 0.3810 suggests that about 38.1% of the node's 53 neighbors share a direct edge with one another, indicating a moderately connected local community. The square clustering coefficient of 0.2042 means that 20.42% of potential four-node cycles (squares) among the neighbors are formed, demonstrating the presence of connections through paths of length two among the node's neighbors, in addition to direct edges."
209,"This node has direct edges to 6 out of the 398 other nodes in the network (degree centrality 0.0151 × 398 ≈ 6). Its closeness centrality of 0.4032 corresponds to a mean shortest-path distance of 1 / 0.4032 ≈ 2.48 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, representing 0.00% of all such paths in the network. The clustering coefficient of 0.6000 means that approximately 60.0% of the node's 6 neighbors share direct edges with one another, forming a relatively connected local neighborhood. The square clustering coefficient of 0.2504 signifies that about 25.0% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting some level of connectivity through paths of length two in addition to direct edges among them."
210,"This node has direct edges to 11 out of the 398 other nodes in the network (degree centrality 0.0276 × 398 ≈ 11). Its closeness centrality of 0.4350 corresponds to a mean shortest-path distance of 1 / 0.4350 ≈ 2.30 hops to reach any other node in the graph. The betweenness centrality of 0.0000 signifies that this node does not lie on any shortest paths between pairs of nodes; thus, it plays no role as a connector in the network. The clustering coefficient of 0.4727 indicates that approximately 47.3% of the node's 11 neighbors are mutually connected to each other via direct edges. The square clustering coefficient of 0.2861 reveals that about 28.6% of potential four-node cycles (squares) are formed among the node's neighbors, indicating a moderate level of connectivity through two-step relationships among them."
211,"This node has direct edges to 9 out of the 398 other nodes in the network (degree centrality 0.0226 × 398 ≈ 9). Its closeness centrality of 0.4266 corresponds to a mean shortest-path distance of 1 / 0.4266 ≈ 2.34 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes, meaning it does not serve as a connecting point in any path. The clustering coefficient of 0.6944 shows that approximately 69.44% of the node's 9 neighbors share direct connections with each other, indicating a relatively high level of local interconnectedness. The square clustering coefficient of 0.2967 signifies that 29.67% of potential four-node cycles (squares) among the neighbors are closed, reflecting the extent to which connections exist through paths of length two alongside direct edges among the node’s neighbors."
212,"This node has direct edges to 6 out of the 398 other nodes in the network (degree centrality 0.0151 × 398 ≈ 6). Its closeness centrality of 0.4008 corresponds to a mean shortest-path distance of 1 / 0.4008 ≈ 2.49 hops to reach any other node in the graph. The betweenness centrality of 0.0001 indicates that this node lies on approximately 0.01% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4000 means that about 40.0% of this node's 6 neighbors share direct edges with one another, reflecting a moderate level of local interconnectedness. The square clustering coefficient of 0.1468 indicates that approximately 14.7% of the potential four-node cycles (squares) that could be formed among the node's neighbors are closed, illustrating a lower level of two-step connectivity among its neighbors compared to its direct connections."
213,"This node has direct edges to 13 out of the 398 other nodes in the network (degree centrality 0.0327 × 398 ≈ 13). Its closeness centrality of 0.4427 corresponds to a mean shortest-path distance of 1 / 0.4427 ≈ 2.26 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes, meaning it does not act as a bridge in the network. The clustering coefficient of 0.5128 signifies that approximately 51.3% of the node's 13 neighbors share direct edges with each other, indicating a moderately dense local neighborhood. The square clustering coefficient of 0.3009 measures that roughly 30.1% of potential four-node cycles (squares) among the neighbors are closed, reflecting the connectivity of the neighbors through paths of length two in addition to direct edges."
214,"This node has direct edges to 14 out of the 398 other nodes in the network (degree centrality 0.0352 × 399 ≈ 14). Its closeness centrality of 0.4671 corresponds to a mean shortest-path distance of 1 / 0.4671 ≈ 2.14 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any of the shortest paths between any other pairs of nodes, contributing 0% to the total betweenness in the graph. The clustering coefficient of 0.7582 signifies that about 75.82% of the node's 14 neighbors share direct edges with one another, indicating a high level of local connectivity. The square clustering coefficient of 0.3120 reflects that approximately 31.20% of potential four-node cycles (squares) among the node's neighbors are closed, showing a moderate level of connectivity through paths of length two in addition to direct edges."
215,"This node has direct edges to 8 out of the 398 other nodes in the network (degree centrality 0.0201 × 398 ≈ 8). Its closeness centrality of 0.4116 corresponds to a mean shortest-path distance of 1 / 0.4116 ≈ 2.43 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any pairs of nodes, contributing 0% to the total paths. The clustering coefficient of 0.8214 means that approximately 82.1% of the node's 8 neighbors share direct edges with one another, demonstrating a highly interconnected local neighborhood. The square clustering coefficient of 0.2482 indicates that around 24.82% of potential four-node cycles (squares) among the node's neighbors are closed, suggesting a moderate level of connectivity through paths of length two in addition to direct edges."
216,"This node has direct edges to 17 out of the 398 other nodes in the network (degree centrality 0.0427 × 398 ≈ 17). Its closeness centrality of 0.4601 corresponds to a mean shortest-path distance of 1 / 0.4601 ≈ 2.17 hops to reach any other node in the graph. The betweenness centrality of 0.0002 indicates that this node lies on approximately 0.02% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.7426 means that about 74.26% of the node's 17 neighbors share a direct edge with one another, indicating a high density of connections in its local neighborhood. The square clustering coefficient of 0.3226 measures that approximately 32.26% of the potential four-node cycles (squares) are closed among the node's neighbors, reflecting the extent of connectivity through paths of length two in addition to direct edges."
217,"This node has direct edges to 1 out of the 398 other nodes in the network (degree centrality 0.0025 × 398 ≈ 1). Its closeness centrality of 0.3658 corresponds to a mean shortest-path distance of 1 / 0.3658 ≈ 2.73 hops to reach any other node in the graph. A betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any pair of the remaining nodes, equating to 0% of all such paths. The clustering coefficient of 0.0000 shows that none of the node's single neighbor has a direct connection to other neighbors, implying an absence of mutual links within the local neighborhood. Similarly, the square clustering coefficient of 0.0000 reveals that none of the potential four-node cycles are closed among the node's neighborhood, indicating a lack of two-step connections between its neighbors. This structural profile reflects a node with limited connectivity and isolated characteristics within the broader network."
218,"This node has direct edges to 3 out of the 398 other nodes in the network (degree centrality 0.0075 × 398 ≈ 3). Its closeness centrality of 0.3658 corresponds to a mean shortest-path distance of 1 / 0.3658 ≈ 2.73 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.0000 shows that none of the node's 3 neighbors share a direct edge with one another, indicating a lack of dense local connections among them. The square clustering coefficient of 0.0000 further confirms that there are no closed four-node cycles among the node's neighbors, signifying an absence of interconnectedness through paths of length two among its local connections."
219,"This node has direct edges to 1 out of the 398 other nodes in the network (degree centrality 0.0025 × 398 ≈ 1). Its closeness centrality of 0.3658 corresponds to a mean shortest-path distance of 1 / 0.3658 ≈ 2.74 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, representing 0% of all such paths. The clustering coefficient of 0.0000 signifies that none of the node's 1 neighbor shares a direct edge with another neighbor, indicating an absence of mutual connections in the local neighborhood. Similarly, the square clustering coefficient of 0.0000 further confirms that there are no closed cycles among the node's neighbors, implying there are no connections of length two between them."
220,"This node has direct edges to 9 out of the 398 other nodes in the network (degree centrality 0.0226 × 398 ≈ 9). Its closeness centrality of 0.4252 corresponds to a mean shortest-path distance of 1 / 0.4252 ≈ 2.35 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any of the shortest paths between any other pairs of nodes, which corresponds to 0% of such paths. The clustering coefficient of 0.6389 signifies that approximately 63.9% of the node's 9 neighbors are interconnected by direct edges, indicating a relatively dense local configuration. The square clustering coefficient of 0.2741 reflects that about 27.4% of potential four-node cycles (squares) are closed among the node's neighbors, suggesting that neighbors can also be linked through paths of length two in addition to direct connections."
221,"This node has direct edges to 28 out of the 398 other nodes in the network (degree centrality 0.0704 × 399 ≈ 28). Its closeness centrality of 0.4721 corresponds to a mean shortest-path distance of 1 / 0.4721 ≈ 2.11 hops to reach any other node in the graph. The betweenness centrality of 0.0185 indicates that this node lies on approximately 1.85% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3757 suggests that about 37.57% of the node's 28 neighbors share a direct edge with one another, signifying a moderately connected local neighborhood. The square clustering coefficient of 0.1513 indicates that 15.13% of potential four-node cycles (squares) among the node's neighbors are closed, reflecting the degree to which neighbors are connected through both direct and two-step paths."
222,"This node has direct edges to 5 out of the 398 other nodes in the network (degree centrality 0.0126 × 398 ≈ 5). Its closeness centrality of 0.4146 corresponds to a mean shortest-path distance of 1 / 0.4146 ≈ 2.41 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes, suggesting it does not serve as a bridge in the network. The clustering coefficient of 0.5000 reveals that approximately 50% of the node's 5 neighbors share a direct edge with one another, illustrating a moderate level of connectivity among those neighbors. The square clustering coefficient of 0.1851 indicates that about 18.51% of potential four-node cycles (squares) involving the node's neighbors are closed, reflecting the extent to which neighbors are interconnected through paths of length two and direct edges."
223,"This node has direct edges to 1 out of the 398 other nodes in the network (degree centrality 0.0025 × 398 ≈ 1). Its closeness centrality of 0.3402 corresponds to a mean shortest-path distance of 1 / 0.3402 ≈ 2.94 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any other pairs of nodes, which translates to 0% of paths being influenced by it. The clustering coefficient of 0.0000 shows that none of the node's 1 neighbor pairs share a direct edge, resulting in 0% of potential connections being present. Similarly, the square clustering coefficient of 0.0000 illustrates that there are no closed four-node cycles among the node's neighbors, meaning 0% of such connections exist in the neighborhood. This node's structural properties reflect isolation within the network."
224,"This node has direct edges to 3 out of the 398 other nodes in the network (degree centrality 0.0075 × 398 ≈ 3). Its closeness centrality of 0.3925 corresponds to a mean shortest-path distance of approximately 2.55 hops to reach any other node in the graph (1 / 0.3925 ≈ 2.55). The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between other pairs of nodes, meaning it does not act as a bridge in the network. The clustering coefficient of 0.6667 suggests that about 66.67% of the node's 3 neighbors share direct edges with one another. This indicates a relatively cohesive local neighborhood structure. The square clustering coefficient of 0.2553 indicates that approximately 25.53% of potential four-node cycles (squares) among the node's neighbors are closed, reflecting some level of connectivity among neighbors through two-hop paths as well as direct edges."
225,"This node has direct edges to 1 out of the 398 other nodes in the network (degree centrality 0.0025 × 398 ≈ 1). Its closeness centrality of 0.3402 corresponds to a mean shortest-path distance of 1 / 0.3402 ≈ 2.94 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between every other pair of nodes, representing 0% of the total paths. The clustering coefficient of 0.0000 indicates that none of the node's 1 neighbor is also connected to another neighbor, resulting in no mutual connections. The square clustering coefficient of 0.0000 reflects that there are no closed four-node cycles (squares) among the neighbors of this node, signifying no indirect connections through paths of length two for the sole neighbor."
226,"This node has direct edges to 5 out of the 398 other nodes in the network (degree centrality 0.0126 × 398 ≈ 5). Its closeness centrality of 0.4061 corresponds to a mean shortest-path distance of 1 / 0.4061 ≈ 2.46 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, representing 0% of the paths in the network. The clustering coefficient of 0.7000 means that approximately 70.0% of the node's 5 neighbors are connected to each other, suggesting a relatively high density of connections among its local neighborhood. The square clustering coefficient of 0.3584 indicates that about 35.84% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting that there are some connections through paths of length two in addition to direct edges within the local connectivity."
227,"This node has direct edges to 5 out of the 398 other nodes in the network (degree centrality 0.0126 × 398 ≈ 5). Its closeness centrality of 0.3972 corresponds to a mean shortest-path distance of 1 / 0.3972 ≈ 2.52 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any of the shortest paths between pairs of nodes, representing 0% of such paths. The clustering coefficient of 0.7000 shows that approximately 70% of the node's 5 neighbors are mutually connected to one another. The square clustering coefficient of 0.2656 reflects that about 26.6% of potential four-node cycles (squares) involving this node's neighbors are closed, indicating a degree of connectivity through paths of length two among neighbors."
228,"This node has direct edges to 10 out of the 398 other nodes in the network (degree centrality 0.0251 × 398 ≈ 10). Its closeness centrality of 0.4270 corresponds to a mean shortest-path distance of 1 / 0.4270 ≈ 2.34 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any pair of nodes, contributing 0% to the overall network connectivity. The clustering coefficient of 0.7778 suggests that approximately 77.8% of the node's 10 neighbors are connected to each other, indicating a high likelihood of forming a triangle among the neighbors. The square clustering coefficient of 0.2963 reflects that 29.63% of potential four-node cycles (squares) among the node's neighbors are closed, illustrating some level of connectivity through paths of length two, alongside direct edges."
229,"This node has direct edges to 5 out of the 398 other nodes in the network (degree centrality 0.0126 × 398 ≈ 5). Its closeness centrality of 0.4133 corresponds to a mean shortest-path distance of 1 / 0.4133 ≈ 2.42 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any of the shortest paths between any pairs of nodes, meaning it does not act as a connector between other nodes. The clustering coefficient of 0.9000 signifies that approximately 90% of the node's 5 neighbors are connected to one another, indicating a dense local neighborhood. The square clustering coefficient of 0.3496 indicates that about 34.96% of potential four-node cycles (squares) involving this node's neighbors are closed, reflecting a moderate level of connectivity among those neighbors through two-step paths as well as direct edges."
230,"This node has direct edges to 8 out of the 398 other nodes in the network (degree centrality 0.0201 × 399 ≈ 8). Its closeness centrality of 0.4181 corresponds to a mean shortest-path distance of 1 / 0.4181 ≈ 2.39 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any other pairs of nodes, meaning it plays no role in connecting other nodes in terms of shortest paths. The clustering coefficient of 0.8929 signifies that about 89.3% of the node's 8 neighbors are mutually connected, indicating a high level of connectivity within its local neighborhood. The square clustering coefficient of 0.3549 measures that approximately 35.5% of the potential four-node cycles among the node's neighbors are completed, reflecting the extent of connectivity through paths of length two as well as direct edges."
231,"This node has direct edges to 10 out of the 398 other nodes in the network (degree centrality 0.0251 × 399 ≈ 10). Its closeness centrality of 0.4364 corresponds to a mean shortest-path distance of 1 / 0.4364 ≈ 2.29 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any pairs of nodes, representing 0% of all shortest paths. The clustering coefficient of 0.8222 indicates that approximately 82.2% of the node's 10 neighbors share a direct edge with one another, signifying a highly interconnected local neighborhood. The square clustering coefficient of 0.3272 reflects that about 32.7% of potential four-node cycles (squares) among the node's neighbors are closed, illustrating a moderate level of connectivity among neighbors through paths of length two as well as direct edges."
232,"This node has direct edges to 7 out of the 398 other nodes in the network (degree centrality 0.0176 × 398 ≈ 7). Its closeness centrality of 0.4207 corresponds to a mean shortest-path distance of 1 / 0.4207 ≈ 2.38 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, constituting 0% of all such paths. The clustering coefficient of 0.4762 reveals that approximately 47.6% of this node's 7 neighbors are directly connected to each other, forming a moderately dense local neighborhood. The square clustering coefficient of 0.2699 indicates that 26.99% of the potential four-node cycles (squares) that could exist among this node's neighbors are closed, reflecting the degree to which neighbors remain interconnected through paths of length two alongside direct edges."
233,"This node has direct edges to 11 out of the 398 other nodes in the network (degree centrality 0.0276 × 398 ≈ 11). Its closeness centrality of 0.4467 corresponds to a mean shortest-path distance of 1 / 0.4467 ≈ 2.24 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, contributing 0% to the total paths in the network. The clustering coefficient of 0.6000 reflects that approximately 60.0% of the node's 11 neighbors are directly connected to each other, indicating a fairly dense local network among them. The square clustering coefficient of 0.3361 means that 33.6% of potential four-node cycles (squares) exist among the node's neighbors, showing that a notable fraction of connections through two-hop paths is also present, in addition to direct edges."
234,"This node has direct edges to 11 out of the 398 other nodes in the network (degree centrality 0.0276 × 399 ≈ 11). Its closeness centrality of 0.4432 corresponds to a mean shortest-path distance of 1 / 0.4432 ≈ 2.26 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, representing 0% of such paths. The clustering coefficient of 0.8182 signifies that approximately 81.82% of the node's 11 neighbors share direct edges with one another, indicating a highly interconnected local neighborhood. The square clustering coefficient of 0.3371 reveals that 33.71% of potential four-node cycles (squares) are completed among the node's neighbors, reflecting a presence of second-order connections in addition to direct edges."
235,"This node has direct edges to 4 out of the 398 other nodes in the network (degree centrality 0.0101 × 399 ≈ 4). Its closeness centrality of 0.3976 corresponds to a mean shortest-path distance of 1 / 0.3976 ≈ 2.51 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between pairs of nodes in the graph, implying it does not act as a bridge connecting different parts of the network. The clustering coefficient of 1.0000 means that 100% of the node's 4 neighbors are connected to each other, forming a complete local neighborhood. The square clustering coefficient of 0.3121 indicates that 31.21% of potential four-node cycles involving the node's neighbors are present, reflecting the extent to which these neighbors are connected through two-hop paths in addition to their direct connections."
236,"This node has direct edges to 7 out of the 398 other nodes in the network (degree centrality 0.0176 × 398 ≈ 7). Its closeness centrality of 0.4331 corresponds to a mean shortest-path distance of 1 / 0.4331 ≈ 2.31 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any pairs of nodes, reflecting a complete absence of bridging roles in the network. The clustering coefficient of 1.0000 signifies that all of this node's 7 neighbors are mutually connected, forming a fully connected component. The square clustering coefficient of 0.3917 indicates that approximately 39.17% of potential four-node cycles (squares) are closed among the node's neighbors, revealing some connections between the neighbors that form paths of length two in addition to direct edges."
237,"This node has direct edges to 11 out of the 398 other nodes in the network (degree centrality 0.0276 × 398 ≈ 11). Its closeness centrality of 0.4129 corresponds to a mean shortest-path distance of 1 / 0.4129 ≈ 2.42 hops to reach any other node in the graph. The betweenness centrality of 0.0006 indicates that this node lies on approximately 0.06% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4545 signifies that about 45.5% of the node's 11 neighbors share a direct edge with one another, indicating a moderately connected local neighborhood. The square clustering coefficient of 0.1811 means that 18.1% of the potential four-node cycles among the node's neighbors are closed, reflecting the extent of connections through paths of length two as well as direct edges within that local structure."
238,"This node has direct edges to 6 out of the 398 other nodes in the network (degree centrality 0.0151 × 398 ≈ 6). Its closeness centrality of 0.4261 corresponds to a mean shortest-path distance of 1 / 0.4261 ≈ 2.34 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes, meaning it does not serve as a transit point for any paths in the network. The clustering coefficient of 0.9333 reveals that approximately 93.33% of the node's 6 neighbors share direct edges with one another, forming a highly interconnected local neighborhood. The square clustering coefficient of 0.3545 indicates that about 35.45% of the potential four-node cycles (squares) among the node's neighbors are closed, reflecting a moderate degree of connectivity through paths of length two among these neighbors."
239,"This node has direct edges to 19 out of the 398 other nodes in the network (degree centrality 0.0477 × 398 ≈ 19). Its closeness centrality of 0.4543 corresponds to a mean shortest-path distance of approximately 2.20 hops to reach any other node in the graph (1 / 0.4543 ≈ 2.20). The betweenness centrality of 0.0001 indicates that this node lies on about 0.01% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.6082 means that approximately 60.8% of the node's 19 neighbors share direct edges with one another, suggesting a relatively dense local neighborhood. The square clustering coefficient of 0.3201 indicates that around 32.0% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting the extent to which those neighbors are interconnected through paths of length two as well as direct edges."
240,"This node has direct edges to 15 out of the 398 other nodes in the network (degree centrality 0.0377 × 399 ≈ 15). Its closeness centrality of 0.4417 corresponds to a mean shortest-path distance of 1 / 0.4417 ≈ 2.26 hops to reach any other node in the graph. The betweenness centrality of 0.0001 indicates that this node lies on approximately 0.01% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.7524 reveals that about 75.24% of the node's 15 neighbors are connected to one another, demonstrating a strong local interconnectedness. The square clustering coefficient of 0.2820 indicates that 28.2% of potential four-node cycles (squares) are closed among the node's neighbors, which reflects the presence of connections among the neighbors through paths of length two, in addition to direct edges."
241,"This node has direct edges to 16 out of the 398 other nodes in the network (degree centrality 0.0402 × 398 ≈ 16). Its closeness centrality of 0.4354 corresponds to an average shortest-path distance of 1 / 0.4354 ≈ 2.3 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, representing 0% of all such paths. The clustering coefficient of 0.8833 signifies that approximately 88.33% of the node's 16 neighbors are interconnected, forming a very cohesive local cluster. The square clustering coefficient of 0.3478 indicates that around 34.78% of the potential four-node cycles among the node's neighbors are completed, reflecting a moderate level of indirect connections between its neighbors."
242,"This node has direct edges to 17 out of the 398 other nodes in the network (degree centrality 0.0427 × 398 ≈ 17). Its closeness centrality of 0.4462 corresponds to a mean shortest-path distance of 1 / 0.4462 ≈ 2.24 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on approximately 0.00% of all shortest paths between every other pair of nodes, suggesting it has no influence on flow between pairs. The clustering coefficient of 0.7206 indicates that about 72.1% of the node's 17 neighbors share a direct edge with one another, indicating a highly interconnected local neighborhood. The square clustering coefficient of 0.3217 measures that approximately 32.2% of potential four-node cycles are closed among the node's neighbors, reflecting a moderate level of connections among neighbors through paths of length two along with direct edges."
243,"This node has direct edges to 43 out of the 398 other nodes in the network (degree centrality 0.1080 × 398 ≈ 43). Its closeness centrality of 0.4732 corresponds to a mean shortest-path distance of 1 / 0.4732 ≈ 2.11 hops to reach any other node in the graph. The betweenness centrality of 0.0003 indicates that this node lies on approximately 0.03% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.5736 suggests that about 57.36% of the node's 43 neighbors are directly connected to each other, indicating a moderately dense local neighborhood. The square clustering coefficient of 0.2681 means that approximately 26.81% of potential four-node cycles among the node's neighbors are completed, demonstrating a significant presence of connections among neighbors through paths of length two in addition to direct edges."
244,"This node has direct edges to 39 out of the 398 other nodes in the network, corresponding to a degree centrality of 0.0980 (0.0980 × 398 ≈ 39). Its closeness centrality of 0.4693 translates to a mean shortest-path distance of approximately 2.13 hops to reach any other node in the graph (1 / 0.4693 ≈ 2.13). The betweenness centrality of 0.0004 indicates that this node lies on approximately 0.04% of all shortest paths between every other pair of nodes (0.0004 × 100). The clustering coefficient of 0.5398 implies that about 53.98% of this node's 39 neighbors share a direct edge with one another, indicating a moderately dense local neighborhood. The square clustering coefficient of 0.2484 shows that 24.84% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting the degree of connectivity among the neighbors through both direct edges and paths of length two."
245,"This node has direct edges to 5 out of the 398 other nodes in the network (degree centrality 0.0126 × 398 ≈ 5). Its closeness centrality of 0.3902 corresponds to a mean shortest-path distance of 1 / 0.3902 ≈ 2.56 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any pairs of nodes, effectively contributing 0% to the total betweenness perspective in the network. The clustering coefficient of 0.8000 signifies that approximately 80% of this node's 5 neighbors share a direct edge with one another, indicating a high level of local interconnectedness. The square clustering coefficient of 0.2736 suggests that about 27.4% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting a certain level of connectivity among its neighbors through paths of length two alongside direct edges."
246,"This node has direct edges to 16 out of the 398 other nodes in the network (degree centrality 0.0402 × 398 ≈ 16). Its closeness centrality of 0.4326 translates to a mean shortest-path distance of 1 / 0.4326 ≈ 2.31 hops to reach any other node in the graph. The betweenness centrality of 0.0001 indicates that this node is part of approximately 0.01% of all shortest paths between other node pairs. The clustering coefficient of 0.5500 means that about 55.0% of the node's 16 neighbors are connected to each other, indicating a fairly cohesive local structure. The square clustering coefficient of 0.2911 reflects that 29.11% of potential four-node cycles (squares) are formed among the node's neighbors, suggesting a moderate level of indirect connectivity within the network."
